,　,test.png,,,,,,105
,それにしてもだ、,,,b2.png,,,,
,どうしてこうも毎回毎回面倒な夢を見やがるんだ、@@この生体ニューロコンピュータってやつは。@@そもそも、なんだ悪夢って、@@不具合が悪夢って、よく考えたら、わけわからんぞ。,,,,,,,
,まあ、コンピュータっつーか、@@ほとんど人造臓器・人工脳髄なわけだから、@@夢ぐらい見るってか。,,,,,,,
,で、置いてきぼりを食らっている、@@そこで見ている奴、@@お前だよお前！,,,,,,,
,今オフィスに戻ったら、もう一仕事しなきゃならなくなるから、@@ちょっと時間潰しに説明してやろう。,,,,,,,
,ここは「箱庭」、@@いわゆる仮想世界空間だ。@@仮想世界って言っても、現実世界とほとんど変わらない、@@残念ながら空も飛べないし、イケメンにもならない。,,,,,,,
,生体ニューロコンピュータが作り出す、限りなく現実世界に近いこの世界は、@@今や完全に現実世界の一部だな。,,,,,,,
,俺のガキの頃には、まさかこんな世の中になって、@@ましてやそのコンピュータのお守りを自分がしているなんて想像もしなかったな。,,,,,,,
,生体ニューロコンプー、,,,,,,,
,う、,,,,,,,
,噛んだ、@@言い辛えな、もう「生コン」でいいか。,,,,,,,
,で、この生コンが出来て１０年、あっという間に世界を変えちまった。@@インターネットなんて、それこそ何だったんだってぐらいの懐かしのテクノロジーだな。@@生コンの野郎は、今や世界を支えるインフラ、「電気・ガス・水道・箱庭」てな具合だ。,,,,,,,
,だから、「箱庭」ってなんだよ、だろ？,,,,,,,
,日本には７台の生コンがある。@@その生コン様が行政のほとんどを行っている。@@日本政府は、この生コンの面倒をみれば、日本が運営できるって状況だ。,,,,,,,
,厄介なことに、この生コンはコンピュータとは名ばかりの@@デッカイたんぱく質の塊で、@@「パソコンからコンソールで・・・」@@なんてやり方じゃ使い物にならない。,,,,,,,
,いや、ちがうな。,,,,,,,
,この生コン様は、そんなコミュニケーションを望んでらっしゃらない。@@人間どもに用意したのが、この仮想世界「箱庭」で、つまり,,,,,,,
,「私に仕事をさせたいのならば、そっちの方が菓子折り持ってお願いにくるのが筋よね」,,,,,,,
,ってこと。@@人間にコンピュータの世界に入る方法を@@ありがたくも用意してくださった訳だ。,,,,,,,
,だから、こうやって人間どもは、この箱庭に入ってきては、@@税金の手続きだ、引っ越しだと生コン様にお願いに上がる訳だ。,,,,,,,
,といっても、そんなのは何年も前の話で、実際はもうほとんどやってない。@@生コン様が先回りしてやってくれてしまうもんだから、手続きなんて一瞬で終了。@@それよりも、,,,,,,,
,そう、それよりもだ。,,,,,,,
,この「箱庭」、つまり生コン様が融通の聞かない頑固者だから、@@現実世界とまるっきり同じ、@@「場所を移動したけりゃ歩け」@@だし@@雨が降ったり、雪が降ったり、仮想世界なんだからその辺何とかしてくれりゃいいのに。,,,,,,,
,と、無駄口叩いている間に、秋葉原駅まで着いちまった。,,,,,,,
,これも変な話だが、@@箱庭からリジェクトできる場所は限られている。,＜秋葉原駅電気街口前＞,,,,,,
,駅はその一つ。,,,,,,,
,今俺がアクセプトしているこの箱庭は、@@７番目の「ナギナミ」という生コン様だ。,,,,,,,
,で、俺はこのナギナミ様のお守りをさせていただいている奉公人というわけで、@@現実世界でのお世話から、箱庭内のお世話まで、,,,,,,,
,つーか故障修理からバグ修正まで、なんでもやりますガテン系だ、このやろう。@@もー疲れた！こういう日は、残業しないで帰って酒飲んで寝る！,,,,,,,
,・・・ん,＜秋葉原駅電気街口改札前＞,,,,,,
,今日は駅前が、やけに静かだな？,,,,,,,
,いつものなら仕事が終わって箱庭に遊びにアクセプトしてくる奴らでごった返してるのに。@@改札付近には、出口に待ち合わせらしき女性がいるだけだ。,,,,,,,
,今日は特にアクセプト制限がかかってないと思うんだけどなあ・・・,,,,,,,
女性,（女性）ちょっと・・・,,,,,,,
ススム,（自分）・・・ん、なんでしょう、どうしました？,,,,,,,
,バチンッ！,,,,＜＜ビンタの画像＞＞,,,
,！！！！,,,,,,,
,痛ってーぇ・・・@@え、なに？@@なんでビンタされた？？？？,,,,,,,
ススム,ちょ、ちょ、なにすんだよ！,,,,,,,
女性,ーーー　顔を真っ赤にして、号泣　ーーー,,,,,,,
,！！！！,,,,,,,
,って、なんで、この子泣いてんの？！@@何、なんなの？何が起きてるの？,,,,,,,
女性,ーーー　走って、立ち去る　ーーー,,,,,,,
ススム,ちょ、まって、まっ・・・・,,,,,,,
,・・・・、何、何なの・・・・,,,,,,,
,何、全くわからん、何だこれ、何で俺殴られてんの？@@しかも、思いっきり泣いてたし、,,,,,,,
,だめだ、全くわからない。@@人違い？ドッキリ？・・・・,,,,,,,
,気づくと、改札からは人の流れがいつものようにごった返し、@@今起きたことをかき消すように、まるで白昼夢でも見てたかのように日常が帰ってきた。,＜秋葉原駅電気街口改札　混雑＞,,,,,,
2,　,,,,,,,
,　,,,,,,,
1,　,,,,,,,
,$ 翌日＠現実世界,＜オフィス＞,,,,,,
男性,おはようさん、ススムッち@@昨日随分早く帰ったでしょ、心配したよ〜、これお土産,,,,,,,
,　,,,,＜＜書類の束＞＞,,,
ススム,（ススム）って、これお土産じゃなくて、仕事じゃないっすか,,,,,,,
男性,（男性）君を成長させるための先輩の愛のプレゼントだって,,,,,,,
ススム,（ススム）これ、昨日俺に残業させるつもりだった分でしょ！,,,,,,,
男性,（男性）わかってるんだったら、ちゃちゃっとやっちゃってよ〜,,,,,,,
ススム,（ススム）ユウヤ先輩こそ、可愛い後輩のためにちゃちゃっと片すところ見せてくださいよ！,,,,,,,
ユウヤ,（ユウヤ）いや〜、それが出来ないんだ、いや、残念、これもOJTだからさ、,,,,,,,
ユウヤ,（ユウヤ）オージェーティー、わかる？,,,,,,,
ススム,（ススム）はいはい,,,,,,,
ススム,（ススム）やりますよ、@@てか、拒否権ないんでしょ、わかってますよ,,,,,,,
ユウヤ,（ユウヤ）素直な後輩の成長をみれて、先輩として嬉しいよ、じゃあヨロシコ,,,,,,,
,この俺の教育担当のユウヤ先輩、面倒見はいいし、仕事もできるけど、,,,,,,,
,何ていう表現がいいかな、,,,,,,,
,笑顔の似合う鬼畜、@@完全軽犯罪者、@@絶対つかまらない悪人、,,,,,,,
,というか、とにかく後輩を生かす殺さず、真綿で首を締め上げる天才。@@もちろん、後輩だけじゃなくて、先輩上司にも何かしてると思うけど。,,,,,,,
,この前、黒塗りのベンツが迎えに来てたし、怪しい噂は山ほどあるんだよな。@@残業拒否って目をつけられるくらいなら、素直にやっといた方が得策。,,,,,,,
,で、今日の作業は@@「サーバの不良クラスタの点検」と「昨日の不具合対応の報告まとめ」@@か,,,,,,,
,悪夢＝不具合って、対応しちゃうと生コン様は忘れちまいやがるから、@@いちいち書類にしないといけないし@@その記録を残さないといけないのがお役所仕事で、@@とにかくめんどくさい。,,,,,,,
,あとは、先輩から預かったやつか、,,,,,,,
,って、やられた・・・、一番めんどくさいやつだ・・・,,,,,,,
,「不具合の物理箇所の特定」,,,,,,,
ススム,（ススム）ユウヤ先輩、この預かった仕事、半分だけでもやってもらえませ・・・、って、いないし,,,,,,,
ススム,（ススム）外出って、どこ行ったんだよ、もう。,,,,,,,
,　,,,,＜＜なんか奇妙なテクノロジーっぽい画像＞＞,,,
,「不具合の物理箇所の特定」、通称「物特」。,,,,,,,
,不具合には物理起因の可能性があるものがあって、@@ぶっちゃけ生コン様の中身は何が起きてるかわからないんだけど@@物理的な異常は、それはそれで観察から判るわけで、@@それと箱庭の関連性を調査する必要がある。,,,,,,,
,マーカー立てて、現実と箱庭を何度も行ったり来たりしなきゃなんないし、@@そもそも箱庭内でマーカー見つけるのがクソ面倒くさい。,,,,,,,
,で、マーカーを見つけたら、その関連事象をマークして、現実戻って、マーカーの物理箇所を検証して・・・@@・・・やべ、今日帰れるかな、俺。,,,,,,,
ユウヤ,（ユウヤ）ススム、物特、ちょっと大変だけど、頑張ってね〜、お先！,,,,,,,
ススム,（ススム）ちょ、戻ってきたと思ったら帰るんですか、って、・・・もういないし、,,,,,,,
ススム,（ススム）何、あの人忍者？,,,,,,,
2,　,,,,,,,
1,　,$ ＠箱庭,,,,,,
,はい、今日の箱庭内の天候は大雨、雷注意報発令中です。ありがとうございました。,＜秋葉原駅前ダイビル前広場＞,,,,,,
,って、ふざけんなよ、なんで仮想世界で雨降らす必要あんだよ、生コンの野郎！,,,,,,,
,アクセプトすると秋葉原の駅前は、雨。@@こんな日は、早く家に帰って、暖かいシャワーでもって、これから仕事開始か。,,,,,,,
,さあ、どこから探そうか。,,,,,,,
,　,,,,＜＜傘をさして立っている少女＞＞,,,
ススム,（ススム）・・・ん、あれ？あの子、昨日のビンタ！,,,,,,,
,間違いない、昨日の子だ。,,,,,,,
,雨の中、やや大きめのストライプ柄の傘をさして、@@誰かを待っているようだ。,,,,,,,
,昨日見たときは、あまりの突然の事態に驚いて、泣き顔の印象が強いが、@@遠巻きに見ても、端正な顔立ちの美人であることがわかる。,,,,,,,
,君子危うきに近寄らず、か・・・,,,,,,,
,いや、とにかく何だったのか気になる、声をかけるべきか。,,,,,,,
,　,＜秋葉原駅前ダイビル前広場　景色変更＞,,,,,,
ススム,（ススム）あの・・・,,,,,,,
少女,（少女）はい、なんでしょう？,,,,,,,
ススム,（ススム）あの、昨日、なんていうのか、君にビンタされましたよね、俺。,,,,,,,
少女,（少女）え？？？,,,,,,,
ススム,（ススム）え、じゃなくて、@@俺を殴って、泣いてどっかいっちゃいましたよね？,,,,,,,
ススム,（少女）・・・え、何ですか、それナンパですか？,,,,,,,
ススム,（ススム）いやいや、そうじゃなくて・・・、って昨日の子じゃないの？,,,,,,,
少女,（少女）え、昨日って、何のことか全然わからないんですけど・・・,,,,,,,
ススム,（ススム）あ、ごめん、@@人違い、かな、@@でも、@@あれ？@@・・・見間違えじゃないと思うんだけど・・・,,,,,,,
少女,（少女）ビンタって、そんなナンパ初めてですよ,,,,,,,
ススム,（ススム）いや、ナンパじゃなくて、なんか、ごめん、間違えたみたい。,,,,,,,
少女,（少女）そのナンパ乗ってあげてもいいですよ,,,,,,,
ススム,（ススム）だから、ナンパじゃないって。@@昨日君にそっくりな子に殴られたの,,,,,,,
少女,（少女）お兄さん、その子に変なことしたんじゃないんですかぁ？,,,,,,,
ススム,（ススム）違うって、@@突然殴られたの、てかビンタね。,,,,,,,
ススム,で、泣いてどっかいっちゃった。,,,,,,,
少女,（少女）っていう、出会いのストーリの妄想を語る新手のナンパってことでOK？,,,,,,,
ススム,（ススム）ナンパじゃないって、人違いなら、謝ります。申し訳ない。,,,,,,,
少女,（少女）いえ、いいですよ、@@暇してたとこだし、@@その妄想ストーリー続きは？,,,,,,,
ススム,（ススム）続きって、それで終わりだけど,,,,,,,
少女,（少女）ださ！@@ナンパするなら、もうちょっと話膨らましてくださいよ〜,,,,,,,
ススム,（ススム）だから、ナンパじゃないって、ごめん、それじゃ。,,,,,,,
少女,（少女）あ、まって、せっかくだから暇つぶし付き合ってよ。,,,,,,,
ススム,（ススム）え、なんで？,,,,,,,
少女,（少女）人違いのお詫びってことで。,,,,,,,
,少女は、特に人待ちをしてたわけじゃなくて、時間つぶしをしていたそうだ。,,,,,,,
,わざわざ外で傘をさして立ってなくても、と聞くと,,,,,,,
,「雨の音を聞いてた」,,,,,,,
,と答えた。,,,,,,,
,ちょっと、まずい子に声をかけちゃったかもしれない。,,,,,,,
